"Number","Description","Date","URL"
"277","Governor Murphy Launches New Jersey Health Care Cost Benchmark Program",2021-12-21,"https://nj.gov/infobank/eo/056murphy/pdf/EO-277.pdf"
"276","Governor Murphy Orders Flags to Fly at Half-Staff in Honor of U.S. Senator Bob Dole",2021-12-08,"https://nj.gov/infobank/eo/056murphy/pdf/EO-276.pdf"
"275","Governor Murphy Signs Executive Order Clarifying Certain Statutory Deadlines Across State Government - Appendix To Executive Order No. 275",2021-11-23,"https://nj.gov/infobank/eo/056murphy/pdf/EO-275.pdf"
"274","Governor Murphy Advances Climate Action to Secure New Jersey’s Clean Energy Future",2021-11-10,"https://nj.gov/infobank/eo/056murphy/pdf/EO-274.pdf"
"273","Governor Murphy Lifts Storm-Related State of Emergency",2021-11-01,"https://nj.gov/infobank/eo/056murphy/pdf/EO-273.pdf"
"272","Declares State of Emergency in Preparation for Nor’easter Storm",2021-10-25,"https://nj.gov/infobank/eo/056murphy/pdf/EO-272.pdf"
"271","Governor Murphy Signs Executive Order Instituting Vaccination or Testing Requirement for State Contracted Employees",2021-10-20,"https://nj.gov/infobank/eo/056murphy/pdf/EO-271.pdf"
"270","Governor Murphy Orders Flags to Fly at Half-Staff in Honor of General Colin Luther  Powell",2021-10-18,"https://nj.gov/infobank/eo/056murphy/pdf/EO-270.pdf"
"269","Governor Murphy Orders Flags to Fly at Half-Staff in Honor of General Ray Odierno",2021-10-18,"https://nj.gov/infobank/eo/056murphy/pdf/EO-269.pdf"
"268","Governor Murphy Orders Flags to Fly at Half-Staff in Honor of Assemblyman George Richardson",2021-10-14,"https://nj.gov/infobank/eo/056murphy/pdf/EO-268.pdf"
"267","Governor Murphy Signs Executive Order Addressing Duplications of Benefits in Expenditures of American Rescue Plan State and Local Fiscal Recovery Funds",2021-10-08,"https://nj.gov/infobank/eo/056murphy/pdf/EO-267.pdf"
"266","Governor Murphy Signs Executive Order to Increase Pay for New Jersey’s Poll Workers for the November 2021 General Election",2021-10-05,"https://nj.gov/infobank/eo/056murphy/pdf/EO-266.pdf"
"265","Creates the Office of Diversity, Equity, Inclusion, and Belonging in the Governor’s Office.",2021-09-20,"https://nj.gov/infobank/eo/056murphy/pdf/EO-265.pdf"
"264","Governor Murphy Signs Executive Order Instituting Vaccination or Testing Requirement for All Child Care Center Personnel",2021-09-20,"https://nj.gov/infobank/eo/056murphy/pdf/EO-264.pdf"
"263","Governor Murphy Signs Executive Order Allowing Extended Rulemaking Deadlines to Expire",2021-09-17,"https://nj.gov/infobank/eo/056murphy/pdf/EO-263.pdf"
"262","Governor Murphy Orders establishing the Wealth Disparity Task Force, which was previously announced on Juneteenth of this year.",2021-09-14,"https://nj.gov/infobank/eo/056murphy/pdf/EO-262.pdf"
"261","Governor Murphy Orders Flags to Fly at Half-Staff in Observation of the 20th Anniversary of 9/11",2021-09-10,"https://nj.gov/infobank/eo/056murphy/pdf/EO-261.pdf"
"260","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff to Honor Those Who Lost Their Lives to Tropical Storm Ida",2021-09-07,"https://nj.gov/infobank/eo/056murphy/pdf/EO-260.pdf"
"259","Governor Murphy Declares State of Emergency in Response to Tropical Storm Ida",2021-09-01,"https://nj.gov/infobank/eo/056murphy/pdf/EO-259.pdf"
"258","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of Berkeley Township Beach Patrol Lifeguard Keith Pinto",2021-09-01,"https://nj.gov/infobank/eo/056murphy/pdf/EO-258.pdf"
"257","Governor Murphy Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of Former Assembly Speaker Pro Tempore Nicholas R. Felice",2021-08-31,"https://nj.gov/infobank/eo/056murphy/pdf/EO-257.pdf"
"256","Governor Murphy Establishes Task Force on Afghan Refugee Assistance",2021-08-27,"https://nj.gov/infobank/eo/056murphy/pdf/EO-256.pdf"
"255","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff until sunset on Monday, August 30, 2021, in recognition and mourning of the United States Armed Forces members and innocent civilians who lost their lives in the attack at the Kabul airport on August 26, 2021.",2021-08-27,"https://nj.gov/infobank/eo/056murphy/pdf/EO-255.pdf"
"254","Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of Cape May Beach Patrol Lifeguard Norman V. Inferrera, III",2021-08-24,"https://nj.gov/infobank/eo/056murphy/pdf/EO-254.pdf"
"253","Instituting Vaccination or Testing Requirement for All Preschool to Grade 12 Personnel and for All State Workers",2021-08-23,"https://nj.gov/infobank/eo/056murphy/pdf/EO-253.pdf"
"252","Directs Vaccination or Testing Requirement for Workers in Health Care Facilities and High-Risk Congregate Settings",2021-08-06,"https://nj.gov/infobank/eo/056murphy/pdf/EO-252.pdf"
"251","Governor Murphy Announces Indoor Mask Requirement for Beginning of 2021-2022 School Year",2021-08-06,"https://nj.gov/infobank/eo/056murphy/pdf/EO-251.pdf"
"250","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of AFL-CIO President Richard Trumka",2021-08-06,"https://nj.gov/infobank/eo/056murphy/pdf/EO-250.pdf"
"249","Updates the state’s evictions moratorium to be identical to provisions in S-3691, including the rescinding of certain provisions of Executive Order No. 106 (2020) and aligning expiration dates of other provisions in accordance with the new law.",2021-08-04,"https://nj.gov/infobank/eo/056murphy/pdf/EO-249.pdf"
"248","Governor Murphy Signs Executive Order Updating Procedures Related to the National Incident Management System",2021-07-20,"https://nj.gov/infobank/eo/056murphy/pdf/EO-248.pdf"
"247","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of Former Camden Mayor Gwendolyn Faison",2021-07-12,"https://nj.gov/infobank/eo/056murphy/pdf/EO-247.pdf"
"246","Governor Murphy Signs Executive Order Ending Moratorium on Utility Shutoffs, Establishes Six-Month Grace Period for All Customers",2021-06-14,"https://nj.gov/infobank/eo/056murphy/pdf/EO-246.pdf"
"245","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of Private First Class Dalton Beals",2021-06-08,"https://nj.gov/infobank/eo/056murphy/pdf/EO-245.pdf"
"244","Governor Murphy Signs Legislation and Executive Order Ending COVID-19 Public Health Emergency",2021-06-04,"https://nj.gov/infobank/eo/056murphy/pdf/EO-244.pdf"
"243","Rescinds the requirement from Executive Order No. 107 that businesses and non-profits accommodate telework arrangements for their workforce to the maximum extent practicable and reduce their on-site staff to the minimal number necessary for their operations.",2021-05-26,"https://nj.gov/infobank/eo/056murphy/pdf/EO-243.pdf"
"242","Governor Murphy Lifts Major COVID-19 Restrictions, Moves Forward with Most Significant Reopening Steps to Date",2021-05-24,"https://nj.gov/infobank/eo/056murphy/pdf/EO-242.pdf"
"241","Governor Eliminates Mask Requirement in Outdoor Public Spaces",2021-05-17,"https://nj.gov/infobank/eo/056murphy/pdf/EO-241.pdf"
"240","Governor Extends the Public Health Emergency for Another 30-Day Period",2021-05-14,"https://nj.gov/infobank/eo/056murphy/pdf/EO-240.pdf"
"239","Governor Murphy Signs Executive Order Implementing Second Phase of COVID-19 Restriction Easing",2021-05-12,"https://nj.gov/infobank/eo/056murphy/pdf/EO-239.pdf"
"238","Governor Murphy Signs Executive Order announcing an additional easing of restrictions, including a removal of all percentage capacity limits for indoor and outdoor businesses, a lifting of the prohibition on indoor bar seating, and an end to the outdoor gathering limit.",2021-05-03,"https://nj.gov/infobank/eo/056murphy/pdf/EO-238.pdf"
"237","Governor Murphy Signs Executive Order Permitting Summer Youth Overnight and Day Camps for the 2021 Season",2021-04-28,"https://nj.gov/infobank/eo/056murphy/pdf/EO-237.pdf"
"236","Governor Murphy Directs U.S. and New Jersey Flags to Remain at Half-Staff Until Interment in Honor of Vice President Walter Mondale",2021-04-21,"https://nj.gov/infobank/eo/056murphy/pdf/EO-236.pdf"
"235","The Order extends the Public Health Emergency that was declared on March 9, 2020 through Executive Order No. 103, which was previously extended in 2020 on April 7, May 6, June 4, July 2, August 1, August 27, September 25, October 24, November 22, and December 21, and again in 2021 on January 19, February 17, and March 17.",2021-04-15,"https://nj.gov/infobank/eo/056murphy/pdf/EO-235.pdf"
"234","Governor Murphy Announces Increased Outdoor Gathering Limits and Increased Capacity for Large Venues",2021-03-29,"https://nj.gov/infobank/eo/056murphy/pdf/EO-234.pdf"
"233","Provides all stimulus payments issued to New Jerseyans under the American Rescue Plan Act to be exempt from, and will not be subject to, garnishment by private creditors and debt collectors.",2021-03-24,"https://nj.gov/infobank/eo/056murphy/pdf/EO-233.pdf"
"232","Governor Murphy Signs Executive Order Allowing Outdoor Interstate Youth Sports Competitions",2021-03-17,"https://nj.gov/infobank/eo/056murphy/pdf/EO-232.pdf"
"231","Governor Murphy Signs Executive Order Extending Public Health Emergency in New Jersey",2021-03-17,"https://nj.gov/infobank/eo/056murphy/pdf/EO-231.pdf"
"230","Governor Murphy Announces Increased Capacity Limits for Indoor Businesses and Indoor and Outdoor Gatherings",2021-03-11,"https://nj.gov/infobank/eo/056murphy/pdf/EO-230.pdf"
"229","Governor Murphy Signs Executive Order Extending Utility Shutoff Moratorium Through June 30, 2021",2021-03-03,"https://nj.gov/infobank/eo/056murphy/pdf/EO-229.pdf"
"228","Governor Murphy Signs Executive Order Clarifying Wedding Receptions Can Operate at Increased Capacity",2021-03-03,"https://nj.gov/infobank/eo/056murphy/pdf/EO-228.pdf"
"227","Governor Murphy Signs Executive Order Creating the Age-Friendly State Advisory Council",2021-03-02,"https://nj.gov/infobank/eo/056murphy/pdf/EO-227.pdf"
"226","Governor Murphy Lifts Storm-Related State of Emergency",2021-02-23,"https://nj.gov/infobank/eo/056murphy/pdf/EO-226.pdf"
"225","Governor Murphy Announces Increased Capacity Limits for Religious Services and Large Sports and Entertainment Venues, and Spectators for Collegiate Sporting Events",2021-02-22,"https://nj.gov/infobank/eo/056murphy/pdf/EO-225.pdf"
"224","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of Senator Gerry Cardinale",2021-02-21,"https://nj.gov/infobank/eo/056murphy/pdf/EO-224.pdf"
"223","Governor Murphy Clarifies Procedures for Upcoming Elections",2021-02-19,"https://nj.gov/infobank/eo/056murphy/pdf/EO-223.pdf"
"222","Governor Murphy Signs Executive Order Extending Public Health Emergency in New Jersey",2021-02-17,"https://nj.gov/infobank/eo/056murphy/pdf/EO-222.pdf"
"221","Governor Murphy signed Executive Order No. 221 establishing the Office of Climate Action and the Green Economy",2021-02-16,"https://nj.gov/infobank/eo/056murphy/pdf/EO-221.pdf"
"220","Governor Murphy Announces Executive Order Allowing Limited Spectators at Youth Sporting Events",2021-02-12,"https://nj.gov/infobank/eo/056murphy/pdf/EO-220.pdf"
"219","Governor Murphy Signs Executive Order Raising Indoor Capacity Limits from 25 Percent to 35 Percent for Certain Businesses",2021-02-03,"https://nj.gov/infobank/eo/056murphy/pdf/EO-219.pdf"
"218","Governor Murphy Declares State of Emergency In Response to Expected Winter Storm",2021-01-31,"https://nj.gov/infobank/eo/056murphy/pdf/EO-218.pdf"
"217","Governor Murphy Signs Executive Order Advancing Health Care Affordability Efforts",2021-01-28,"https://nj.gov/infobank/eo/056murphy/pdf/EO-217.pdf"
"216","Governor Murphy Signs Executive Order on Petition Requirements for Upcoming Elections, Including the June Primary Election",2021-01-25,"https://nj.gov/infobank/eo/056murphy/pdf/EO-216.pdf"
"215","Governor Murphy Signs Executive Order Extending Public Health Emergency in New Jersey",2021-01-19,"https://nj.gov/infobank/eo/056murphy/pdf/EO-215.pdf"
"214","Governor Murphy Signs Executive Order to Implement New Policies for the 2020-2021 School Year",2021-01-11,"https://nj.gov/infobank/eo/056murphy/pdf/EO-214.pdf"
"213","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of U.S. Capitol Police Officer Brian Sicknick and shall remain at half-staff through the day of Officer Sicknick’s interment",2021-01-10,"https://nj.gov/infobank/eo/056murphy/pdf/EO-213.pdf"
"212","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of U.S. Capitol Police Officer Brian Sicknick",2021-01-09,"https://nj.gov/infobank/eo/056murphy/pdf/EO-212.pdf"
"211","Governor Murphy Signs Executive Order Postponing Upcoming Elections",2020-12-21,"https://nj.gov/infobank/eo/056murphy/pdf/EO-211.pdf"
"210","Governor Murphy Signs Executive Order Extending Public Health Emergency in New Jersey",2020-12-21,"https://nj.gov/infobank/eo/056murphy/pdf/EO-210.pdf"
"209","Governor Murphy Lifts Storm-Related State of Emergency",2020-12-18,"https://nj.gov/infobank/eo/056murphy/pdf/EO-209.pdf"
"208","Governor Murphy Declares State of Emergency In Response to Expected Winter Storm",2020-12-16,"https://nj.gov/infobank/eo/056murphy/pdf/EO-208.pdf"
"207","Enrolling Residents Who Choose to Receive a COVID-19 Vaccine in the New Jersey Immunization Information System",2020-12-04,"https://nj.gov/infobank/eo/056murphy/pdf/EO-207.pdf"
"206","Governor Phil Murphy today ordered that the U.S. and New Jersey flags be flown at half-staff at all state buildings and facilities from Friday, December 4, 2020 through Sunday, December 6, 2020, in honor of State Police Trooper Recruit Lucas C. Homeijer.",2020-12-03,"https://nj.gov/infobank/eo/056murphy/pdf/EO-206.pdf"
"205","the U.S. and New Jersey flags be flown at half-staff at all state buildings and facilities on Thursday, December 3, 2020, in honor of U.S. Air Force Captain Kelliann Leli",2020-12-02,"https://nj.gov/infobank/eo/056murphy/pdf/EO-205.pdf"
"204","Governor Murphy Signs Executive Order Pausing Indoor Practices and Competitions for Youth and Adult Sports and Lowering Limits on Outdoor Gatherings",2020-11-30,"https://nj.gov/infobank/eo/056murphy/pdf/EO-204.pdf"
"203","Governor Murphy Signs Executive Order Postponing Special School Elections Scheduled for January 2021",2020-11-25,"https://nj.gov/infobank/eo/056murphy/pdf/EO-203.pdf"
"202","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of Former New York City Mayor David N. Dinkins",2020-11-25,"https://nj.gov/infobank/eo/056murphy/pdf/EO-202.pdf"
"201","Governor Murphy Signs Legislation to Bring Changes to the Use of Body Worn Cameras by New Jersey Law Enforcement",2020-11-24,"https://nj.gov/infobank/eo/056murphy/pdf/EO-201.pdf"
"200","Governor Murphy Signs Executive Order Extending Public Health Emergency in New Jersey",2020-11-22,"https://nj.gov/infobank/eo/056murphy/pdf/EO-200.pdf"
"199","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of United States Air Force Senior Airman Richard Asey Samaroo",2020-11-20,"https://nj.gov/infobank/eo/056murphy/pdf/EO-199.pdf"
"198","Governor Murphy Signs Executive Order Extending Certain Election-Related Deadlines",2020-11-19,"https://nj.gov/infobank/eo/056murphy/pdf/EO-198.pdf"
"197","Governor Murphy Signs Executive Order Waiving Statutory Minimum Number of Live Race Dates for 2020 Calendar Year",2020-11-17,"https://nj.gov/infobank/eo/056murphy/pdf/EO-197.pdf"
"196","Governor Murphy Signs Executive Order Lowering Limits on Indoor and Outdoor Gatherings",2020-11-16,"https://nj.gov/infobank/eo/056murphy/pdf/EO-196.pdf"
"195","Governor Murphy Signs Executive Order Permitting Municipalities and Counties to Impose Additional Restrictions on the Hours of Operation of Non-Essential Businesses after 8:00 p.m.",2020-11-12,"https://nj.gov/infobank/eo/056murphy/pdf/EO-195.pdf"
"194","Governor Murphy Announces New COVID-19 Mitigation Measures",2020-11-10,"https://nj.gov/infobank/eo/056murphy/pdf/EO-194.pdf"
"193","Governor Murphy Signs Executive Order to Postpone Perth Amboy Runoff Election",2020-11-02,"https://nj.gov/infobank/eo/056murphy/pdf/EO-193.pdf"
"192","Governor Murphy Signs Executive Order to Protect New Jersey’s Workforce During the COVID-19 Pandemic",2020-10-28,"https://nj.gov/infobank/eo/056murphy/pdf/EO-192.pdf"
"191","The Order extends the Public Health Emergency that was declared on March 9, 2020 through Executive Order No. 103, which was previously extended on April 7, May 6, June 4, July 2, August 1, August 27, and September 25.",2020-10-24,"https://nj.gov/infobank/eo/056murphy/pdf/EO-191.pdf"
"190","Governor Murphy Signs Executive Order Extending Utility Shutoff Moratorium Through March 15, 2021",2020-10-15,"https://nj.gov/infobank/eo/056murphy/pdf/EO-190.pdf"
"189","Governor Murphy Signs Executive Order Extending 2019 Corporate Business Tax Calendar Year Return Filing Deadline",2020-10-15,"https://nj.gov/infobank/eo/056murphy/pdf/EO-189.pdf"
"188","Governor Murphy Signs Executive Order Directing State Agencies to Implement Youth Bias Task Force Report Recommendations",2020-10-13,"https://nj.gov/infobank/eo/056murphy/pdf/EO-188.pdf"
"187","Governor Murphy Signs Executive Order Allowing the Resumption of Contact Practices and Competitions for Certain Organized Sports in Indoor Settings",2020-10-12,"https://nj.gov/infobank/eo/056murphy/pdf/EO-187.pdf"
"186","Governor Murphy Signs Executive Order Extending Public Health Emergency in New Jersey",2020-09-25,"https://nj.gov/infobank/eo/056murphy/pdf/EO-186.pdf"
"185","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of Justice Ruth Bader Ginsburg",2020-09-19,"https://nj.gov/infobank/eo/056murphy/pdf/EO-185.pdf"
"184","Governor Murphy Orders Flags to Fly at Half-Staff in Observation of 9/11 Anniversary",2020-09-10,"https://nj.gov/infobank/eo/056murphy/pdf/EO-184.pdf"
"183","Governor Murphy Signs Executive Order Allowing the Resumption of Indoor Dining Effective Friday, September 4",2020-09-01,"https://nj.gov/infobank/eo/056murphy/pdf/EO-183.pdf"
"182","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of Staff Sergeant Vincent P. Marketta",2020-08-31,"https://nj.gov/infobank/eo/056murphy/pdf/EO-182.pdf"
"181","Governor Murphy Signs Executive Order Allowing Gyms and Indoor Amusement and Water Parks to Reopen Effective Tuesday, September 1",2020-08-27,"https://nj.gov/infobank/eo/056murphy/pdf/EO-181.pdf"
"180","Governor Murphy Signs Executive Order Extending Public Health Emergency in New Jersey",2020-08-27,"https://nj.gov/infobank/eo/056murphy/pdf/EO-180.pdf"
"179","Governor Phil Murphy signed an executive order to make modifications to this year’s primarily vote-by-mail (VBM) General Election.",2020-08-25,"https://nj.gov/infobank/eo/056murphy/pdf/EO-179.pdf"
"178","Governor Murphy Signs Executive Order Extending Certain Statutory Deadlines Across State Government  Appendix To Executive Order No. 178",2020-08-14,"https://nj.gov/infobank/eo/056murphy/pdf/EO-178.pdf"
"177","Governor Murphy Signs Executive Order to Protect Public Health by Mailing Every Active Registered Voter a VBM Ballot Ahead of the General Election",2020-08-14,"https://nj.gov/infobank/eo/056murphy/pdf/EO-177.pdf"
"176","Governor Murphy Lifts State of Emergency Declared in Response to Hurricane Isaias",2020-08-13,"https://nj.gov/infobank/eo/056murphy/pdf/EO-176.pdf"
"175","Murphy Administration to Open New Jersey’s Schools For In-Person Instruction Subject to Critical Health and Safety Protocols",2020-08-13,"https://nj.gov/infobank/eo/056murphy/pdf/EO-175.pdf"
"174","Governor Murphy Declares State of Emergency in Response to Hurricane Isaias",2020-08-03,"https://nj.gov/infobank/eo/056murphy/pdf/EO-174.pdf"
"173","Governor Murphy Announces Decreased Indoor Gathering Capacity Limit",2020-08-03,"https://nj.gov/infobank/eo/056murphy/pdf/EO-173.pdf"
"172","Governor Murphy Signs Executive Order Allowing Public Employees to Immediately Enroll in State Health Benefits Program",2020-08-03,"https://nj.gov/infobank/eo/056murphy/pdf/EO-172.pdf"
"171","The Order extends the Public Health Emergency that was declared on March 9, 2020 through Executive Order No. 103, which was previously extended on April 7, May 6, June 4, and July 2.",2020-08-01,"https://nj.gov/infobank/eo/056murphy/pdf/EO-171.pdf"
"170","Governor Murphy Signs Executive Order Extending Certain Statutory Deadlines Across State Government  Appendix To Executive Order No. 170",2020-07-31,"https://nj.gov/infobank/eo/056murphy/pdf/EO-170.pdf"
"169","Governor Murphy Signs Executive Order which clarifies Executive Order No. 164 and states that the postponement of annual municipal and county party committee reorganization meetings is only applicable to municipal party committees and county party committees that held elections during the July primary elections.",2020-07-20,"https://nj.gov/infobank/eo/056murphy/pdf/EO-169.pdf"
"168","Governor Murphy Signs Executive Order Allowing the Resumption of Contact Practices and Competitions for Certain Organized Sports in Outdoor Settings",2020-07-20,"https://nj.gov/infobank/eo/056murphy/pdf/EO-168.pdf"
"167","Governor Murphy Signs Executive Order Directing U.S. and New Jersey Flags to Fly at Half-Staff in Honor of U.S. Representative John Lewis",2020-07-18,"https://nj.gov/infobank/eo/056murphy/pdf/EO-167.pdf"
"166","Governor Murphy Signs Executive Order Creating Greater Oversight and Accountability for Federal COVID-19 Resources",2020-07-17,"https://nj.gov/infobank/eo/056murphy/pdf/EO-166.pdf"
"165","Governor Murphy Signs Executive Order Lifting 50 Percent Capacity Limits on NJ TRANSIT and Private-Carrier Vehicles",2020-07-13,"https://nj.gov/infobank/eo/056murphy/pdf/EO-165.pdf"
"164","Governor Murphy Announces Postponement of Annual Municipal and County Party Committee Reorganization Meetings",2020-07-13,"https://nj.gov/infobank/eo/056murphy/pdf/EO-164.pdf"
"163","Governor Murphy Signs Executive Order Requiring Individuals to Wear Masks in Outdoor Public Spaces When They Cannot Social Distance",2020-07-08,"https://nj.gov/infobank/eo/056murphy/pdf/EO-163.pdf"
"162","Governor Murphy Signs Executive Order Extending Public Health Emergency in New Jersey",2020-07-02,"https://nj.gov/infobank/eo/056murphy/pdf/EO-162.pdf"
"161","Governor Murphy Announces Increased Outdoor Gathering Capacity Limit",2020-07-02,"https://nj.gov/infobank/eo/056murphy/pdf/EO-161.pdf"
"160","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Full Staff Starting July 3",2020-07-02,"https://nj.gov/infobank/eo/056murphy/pdf/EO-160.pdf"
"159","Governor Murphy Signs Executive Order Extending Certain Statutory Deadlines Across State Government - Appendix To Executive Order No. 159",2020-06-30,"https://nj.gov/infobank/eo/056murphy/pdf/EO-159.pdf"
"158","Governor Murphy Signs Executive Order Temporarily Pausing the Resumption of Indoor Dining",2020-06-29,"https://nj.gov/infobank/eo/056murphy/pdf/EO-158.pdf"
"157","Governor Murphy Signs Executive Order Establishing Rules for Indoor Dining, Indoor Recreational Facilities, and Individualized Instruction at Gyms and Fitness Centers",2020-06-26,"https://nj.gov/infobank/eo/056murphy/pdf/EO-157.pdf"
"156","Governor Murphy Announces Increased Indoor and Outdoor Gathering Capacity Limits",2020-06-22,"https://nj.gov/infobank/eo/056murphy/pdf/EO-156.pdf"
"155","Governor Murphy Signs Executive Order Allowing for Limited In-Person Instruction at Institutions of Higher Education and Trade and Training Schools Beginning July 1",2020-06-18,"https://nj.gov/infobank/eo/056murphy/pdf/EO-155.pdf"
"154","Governor Murphy Signs Executive Order Allowing Personal Care Service Facilities to Open Effective June 22",2020-06-13,"https://nj.gov/infobank/eo/056murphy/pdf/EO-154.pdf"
"153","Governor Murphy Signs Executive Order Opening Pools Effective June 22, and Opening Additional Outdoor Recreational Businesses",2020-06-09,"https://nj.gov/infobank/eo/056murphy/pdf/EO-153.pdf"
"152","Governor Murphy Signs Executive Order Lifting Limits on Indoor and Outdoor Gatherings",2020-06-09,"https://nj.gov/infobank/eo/056murphy/pdf/EO-152.pdf"
"151","Governor Murphy Signs Executive Order Extending Public Health Emergency in New Jersey",2020-06-04,"https://nj.gov/infobank/eo/056murphy/pdf/EO-151.pdf"
"150","Governor Murphy Announces Outdoor Dining Protocols and Process to Expand Premises for Liquor License Holders",2020-06-03,"https://nj.gov/infobank/eo/056murphy/pdf/EO-150.pdf"
"149","Governor Murphy Signs Executive Order Allowing Resumption of Child Care Services, Youth Day Camps, and Organized Sports Over the Coming Weeks",2020-05-30,"https://nj.gov/infobank/eo/056murphy/pdf/EO-149.pdf"
"148","Governor Murphy Signs Executive Order Increasing Capacity Limit on Outdoor Gatherings",2020-05-22,"https://nj.gov/infobank/eo/056murphy/pdf/EO-148.pdf"
"147","Governor Murphy Signs Executive Order",2020-05-18,"https://nj.gov/infobank/eo/056murphy/pdf/EO-147.pdf"
"146","Governor Murphy Signs Executive Order to Reopen Charter Fishing and Watercraft Rental Businesses",2020-05-16,"https://nj.gov/infobank/eo/056murphy/pdf/EO-146.pdf"
"145","Governor Murphy Signs Executive Order Allowing Elective Surgeries and Invasive Procedures to Resume on May 26",2020-05-15,"https://nj.gov/infobank/eo/056murphy/pdf/EO-145.pdf"
"144","Governor Murphy Signs Executive Order to Protect Public Health by Mailing Every Registered Voter a VBM Ballot or Application Ahead of the Primary Election",2020-05-15,"https://nj.gov/infobank/eo/056murphy/pdf/EO-144.pdf"
"143","Governor Murphy Signs Executive Order Allowing Beaches, Boardwalks, Lakes, and Lakeshores to Remain Open with Social Distancing Measures in Place",2020-05-14,"https://nj.gov/infobank/eo/056murphy/pdf/EO-143.pdf"
"142","Governor Murphy Signs Executive Order Permitting Resumption of Non-Essential Construction, Curbside Pickup at Non-Essential Retail Businesses, and Gatherings in Cars",2020-05-13,"https://nj.gov/infobank/eo/056murphy/pdf/EO-142.pdf"
"141","Governor Murphy today signed Executive Order No. 141 mandating that all local, county, and regional health departments use the CommCare platform to support their contact tracing efforts.",2020-05-12,"https://nj.gov/infobank/eo/056murphy/pdf/EO-141.pdf"
"140","Governor Murphy Names Restart and Recovery Advisory Council",2020-05-08,"https://nj.gov/infobank/eo/056murphy/pdf/EO-140.pdf"
"139","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of the 75th Anniversary of V-E Day",2020-05-08,"https://nj.gov/infobank/eo/056murphy/pdf/EO-139.pdf"
"138","Governor Murphy Signs Executive Order Extending Public Health Emergency in New Jersey",2020-05-06,"https://nj.gov/infobank/eo/056murphy/pdf/EO-138.pdf"
"137","Governor Murphy Signs Executive Order to Recognize New Fiscal Realities Due to COVID-19 Pandemic",2020-05-04,"https://nj.gov/infobank/eo/056murphy/pdf/EO-137.pdf"
"136","Governor Murphy Signs Executive Order Extending Statutory Deadlines for Various Environmental Laws",2020-05-02,"https://nj.gov/infobank/eo/056murphy/pdf/EO-136.pdf"
"135","Governor Phil Murphy today signed Executive Order No. 135, suspending in-person requirements for receipt of a marriage license and marriage ceremonies, and for the receipt of working papers for minors.",2020-05-01,"https://nj.gov/infobank/eo/056murphy/pdf/EO-135.pdf"
